Ref_Date,Geo,School,Gender,Stats,Vector,Coordinate,Value
2000,Newfoundland and Labrador,College,Both sexes,Number of graduates,v88832476,2.1.1.1,1400
2005,Newfoundland and Labrador,College,Both sexes,Number of graduates,v88832476,2.1.1.1,600
2010,Newfoundland and Labrador,College,Both sexes,Number of graduates,v88832476,2.1.1.1,1900
2000,Newfoundland and Labrador,College,Both sexes,Employed percent,v88832477,2.1.1.2,80
2005,Newfoundland and Labrador,College,Both sexes,Employed percent,v88832477,2.1.1.2,85
2010,Newfoundland and Labrador,College,Both sexes,Employed percent,v88832477,2.1.1.2,82
2000,Newfoundland and Labrador,College,Both sexes,Employed fulltime percent,v88832478,2.1.1.3,73
2005,Newfoundland and Labrador,College,Both sexes,Employed fulltime percent,v88832478,2.1.1.3,79
2010,Newfoundland and Labrador,College,Both sexes,Employed fulltime percent,v88832478,2.1.1.3,80
2000,Newfoundland and Labrador,College,Both sexes,Employed parttime percent,v88832479,2.1.1.4,6
2005,Newfoundland and Labrador,College,Both sexes,Employed parttime percent,v88832479,2.1.1.4,5
2010,Newfoundland and Labrador,College,Both sexes,Employed parttime percent,v88832479,2.1.1.4,
2000,Newfoundland and Labrador,College,Both sexes,Out of labour force percent,v88832480,2.1.1.5,4
2005,Newfoundland and Labrador,College,Both sexes,Out of labour force percent,v88832480,2.1.1.5,2
2010,Newfoundland and Labrador,College,Both sexes,Out of labour force percent,v88832480,2.1.1.5,8
2000,Newfoundland and Labrador,College,Both sexes,Unemployed rate,v88832481,2.1.1.6,17
2005,Newfoundland and Labrador,College,Both sexes,Unemployed rate,v88832481,2.1.1.6,13
2010,Newfoundland and Labrador,College,Both sexes,Unemployed rate,v88832481,2.1.1.6,11
2000,Newfoundland and Labrador,College,Males,Number of graduates,v88832482,2.1.2.1,700
2005,Newfoundland and Labrador,College,Males,Number of graduates,v88832482,2.1.2.1,200
2010,Newfoundland and Labrador,College,Males,Number of graduates,v88832482,2.1.2.1,1100
2000,Newfoundland and Labrador,College,Males,Employed percent,v88832483,2.1.2.2,79
2005,Newfoundland and Labrador,College,Males,Employed percent,v88832483,2.1.2.2,86
2010,Newfoundland and Labrador,College,Males,Employed percent,v88832483,2.1.2.2,82
2000,Newfoundland and Labrador,College,Males,Employed fulltime percent,v88832484,2.1.2.3,75
2005,Newfoundland and Labrador,College,Males,Employed fulltime percent,v88832484,2.1.2.3,86
2010,Newfoundland and Labrador,College,Males,Employed fulltime percent,v88832484,2.1.2.3,81
2000,Newfoundland and Labrador,College,Males,Employed parttime percent,v88832485,2.1.2.4,4
2005,Newfoundland and Labrador,College,Males,Employed parttime percent,v88832485,2.1.2.4,
2010,Newfoundland and Labrador,College,Males,Employed parttime percent,v88832485,2.1.2.4,
2000,Newfoundland and Labrador,College,Males,Out of labour force percent,v88832486,2.1.2.5,
2005,Newfoundland and Labrador,College,Males,Out of labour force percent,v88832486,2.1.2.5,
2010,Newfoundland and Labrador,College,Males,Out of labour force percent,v88832486,2.1.2.5,5
2000,Newfoundland and Labrador,College,Males,Unemployed rate,v88832487,2.1.2.6,20
2005,Newfoundland and Labrador,College,Males,Unemployed rate,v88832487,2.1.2.6,13
2010,Newfoundland and Labrador,College,Males,Unemployed rate,v88832487,2.1.2.6,14
2000,Newfoundland and Labrador,College,Females,Number of graduates,v88832488,2.1.3.1,700
2005,Newfoundland and Labrador,College,Females,Number of graduates,v88832488,2.1.3.1,400
2010,Newfoundland and Labrador,College,Females,Number of graduates,v88832488,2.1.3.1,800
2000,Newfoundland and Labrador,College,Females,Employed percent,v88832489,2.1.3.2,80
