Ref_Date,Geo,Level,Stats,Vector,Coordinate,Value
2000,Newfoundland and Labrador,College,Number of graduates,v88836324,2.1.1,700
2005,Newfoundland and Labrador,College,Number of graduates,v88836324,2.1.1,300
2010,Newfoundland and Labrador,College,Number of graduates,v88836324,2.1.1,700
2000,Newfoundland and Labrador,College,Average debt owed at graduation dollars,v88836325,2.1.2,15200
2005,Newfoundland and Labrador,College,Average debt owed at graduation dollars,v88836325,2.1.2,17400
2010,Newfoundland and Labrador,College,Average debt owed at graduation dollars,v88836325,2.1.2,16300
2000,Newfoundland and Labrador,College,Large debt at graduation 25000 and over percent,v88836326,2.1.3,17
2005,Newfoundland and Labrador,College,Large debt at graduation 25000 and over percent,v88836326,2.1.3,23
2010,Newfoundland and Labrador,College,Large debt at graduation 25000 and over percent,v88836326,2.1.3,25
2000,Newfoundland and Labrador,College,Average debt owed at time of interview dollars,v88836327,2.1.4,12800
2005,Newfoundland and Labrador,College,Average debt owed at time of interview dollars,v88836327,2.1.4,12900
2010,Newfoundland and Labrador,College,Average debt owed at time of interview dollars,v88836327,2.1.4,8100
2000,Newfoundland and Labrador,College,Large debt at time of interview 25000 and over percent,v88836328,2.1.5,13
2005,Newfoundland and Labrador,College,Large debt at time of interview 25000 and over percent,v88836328,2.1.5,15
2010,Newfoundland and Labrador,College,Large debt at time of interview 25000 and over percent,v88836328,2.1.5,
2000,Newfoundland and Labrador,College,Percentage of debt paid off at time of interview,v88836329,2.1.6,17
2005,Newfoundland and Labrador,College,Percentage of debt paid off at time of interview,v88836329,2.1.6,25
2010,Newfoundland and Labrador,College,Percentage of debt paid off at time of interview,v88836329,2.1.6,49
2000,Newfoundland and Labrador,College,Employed interview year percent,v88836330,2.1.7,82
2005,Newfoundland and Labrador,College,Employed interview year percent,v88836330,2.1.7,84
2010,Newfoundland and Labrador,College,Employed interview year percent,v88836330,2.1.7,81
2000,Newfoundland and Labrador,College,Without income year prior to interview percent,v88836331,2.1.8,
2005,Newfoundland and Labrador,College,Without income year prior to interview percent,v88836331,2.1.8,
2010,Newfoundland and Labrador,College,Without income year prior to interview percent,v88836331,2.1.8,
2000,Newfoundland and Labrador,College,Average income  year prior to interview dollars,v88836332,2.1.9,24200
2005,Newfoundland and Labrador,College,Average income  year prior to interview dollars,v88836332,2.1.9,32100
2010,Newfoundland and Labrador,College,Average income  year prior to interview dollars,v88836332,2.1.9,59600
2000,Newfoundland and Labrador,College,Average age at graduation years,v88836333,2.1.10,24
2005,Newfoundland and Labrador,College,Average age at graduation years,v88836333,2.1.10,25
2010,Newfoundland and Labrador,College,Average age at graduation years,v88836333,2.1.10,25
2000,Newfoundland and Labrador,College,Median age at graduation years,v88836334,2.1.11,22
2005,Newfoundland and Labrador,College,Median age at graduation years,v88836334,2.1.11,23
2010,Newfoundland and Labrador,College,Median age at graduation years,v88836334,2.1.11,24
2000,Newfoundland and Labrador,College,Married or living common-law percent,v88836335,2.1.12,28
2005,Newfoundland and Labrador,College,Married or living common-law percent,v88836335,2.1.12,30
