Ref_Date,Geo,School,Source,Stats,Vector,Coordinate,Value
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834948,2.1.1.1,59
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834948,2.1.1.1,55
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834948,2.1.1.1,44
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834949,2.1.1.2,18
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834949,2.1.1.2,23
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834949,2.1.1.2,25
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834950,2.1.1.3,15400
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834950,2.1.1.3,17500
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834950,2.1.1.3,16400
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834951,2.1.1.4,8
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834951,2.1.1.4,12
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834951,2.1.1.4,24
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834952,2.1.1.5,13900
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834952,2.1.1.5,14400
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834952,2.1.1.5,12100
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834953,2.1.2.1,54
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834953,2.1.2.1,49
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834953,2.1.2.1,35
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834954,2.1.2.2,17
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834954,2.1.2.2,23
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834954,2.1.2.2,25
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834955,2.1.2.3,15200
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834955,2.1.2.3,17400
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834955,2.1.2.3,16300
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834956,2.1.2.4,7
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834956,2.1.2.4,10
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834956,2.1.2.4,20
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834957,2.1.2.5,13900
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834957,2.1.2.5,14500
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834957,2.1.2.5,10400
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834958,2.1.3.1,12
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834958,2.1.3.1,13
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834958,2.1.3.1,15
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834959,2.1.3.2,
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834959,2.1.3.2,
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834959,2.1.3.2,
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834960,2.1.3.3,7300
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834960,2.1.3.3,8000
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834960,2.1.3.3,12000
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834961,2.1.3.4,28
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834961,2.1.3.4,39
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834961,2.1.3.4,47
2000,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834962,2.1.3.5,7000
2005,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834962,2.1.3.5,7900
2010,Newfoundland and Labrador,College,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834962,2.1.3.5,13400
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834963,2.2.1.1,78
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834963,2.2.1.1,71
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834963,2.2.1.1,59
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834964,2.2.1.2,62
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834964,2.2.1.2,61
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834964,2.2.1.2,55
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834965,2.2.1.3,31100
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834965,2.2.1.3,31600
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834965,2.2.1.3,32700
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834966,2.2.1.4,9
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834966,2.2.1.4,15
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834966,2.2.1.4,29
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834967,2.2.1.5,26800
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834967,2.2.1.5,27200
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834967,2.2.1.5,24900
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834968,2.2.2.1,75
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834968,2.2.2.1,65
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834968,2.2.2.1,48
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834969,2.2.2.2,63
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834969,2.2.2.2,59
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834969,2.2.2.2,55
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834970,2.2.2.3,28500
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834970,2.2.2.3,28200
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834970,2.2.2.3,27300
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834971,2.2.2.4,10
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834971,2.2.2.4,17
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834971,2.2.2.4,30
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834972,2.2.2.5,24300
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834972,2.2.2.5,23600
