Ref_Date,GEO,HAR,Vector,Coordinate,Value
1908,Canada,Seeded area (acres),v47217,1.1,271400.0
1909,Canada,Seeded area (acres),v47217,1.1,248000.0
1910,Canada,Seeded area (acres),v47217,1.1,177500.0
1911,Canada,Seeded area (acres),v47217,1.1,199300.0
1912,Canada,Seeded area (acres),v47217,1.1,198200.0
1913,Canada,Seeded area (acres),v47217,1.1,186400.0
1914,Canada,Seeded area (acres),v47217,1.1,175000.0
1915,Canada,Seeded area (acres),v47217,1.1,156700.0
1916,Canada,Seeded area (acres),v47217,1.1,141800.0
1917,Canada,Seeded area (acres),v47217,1.1,218200.0
1918,Canada,Seeded area (acres),v47217,1.1,325000.0
1919,Canada,Seeded area (acres),v47217,1.1,317300.0
1920,Canada,Seeded area (acres),v47217,1.1,290300.0
1921,Canada,Seeded area (acres),v47217,1.1,227700.0
1922,Canada,Seeded area (acres),v47217,1.1,224300.0
1923,Canada,Seeded area (acres),v47217,1.1,194500.0
1924,Canada,Seeded area (acres),v47217,1.1,197900.0
1925,Canada,Seeded area (acres),v47217,1.1,199000.0
1926,Canada,Seeded area (acres),v47217,1.1,198000.0
1927,Canada,Seeded area (acres),v47217,1.1,197200.0
1928,Canada,Seeded area (acres),v47217,1.1,202400.0
1929,Canada,Seeded area (acres),v47217,1.1,205500.0
1930,Canada,Seeded area (acres),v47217,1.1,225900.0
1931,Canada,Seeded area (acres),v47217,1.1,143100.0
1932,Canada,Seeded area (acres),v47217,1.1,174800.0
1933,Canada,Seeded area (acres),v47217,1.1,183900.0
1934,Canada,Seeded area (acres),v47217,1.1,187400.0
1935,Canada,Seeded area (acres),v47217,1.1,185200.0
1936,Canada,Seeded area (acres),v47217,1.1,182500.0
1937,Canada,Seeded area (acres),v47217,1.1,185700.0
1938,Canada,Seeded area (acres),v47217,1.1,189500.0
1939,Canada,Seeded area (acres),v47217,1.1,189600.0
1940,Canada,Seeded area (acres),v47217,1.1,186400.0
1941,Canada,Seeded area (acres),v47217,1.1,128100.0
1942,Canada,Seeded area (acres),v47217,1.1,117100.0
1943,Canada,Seeded area (acres),v47217,1.1,114500.0
1944,Canada,Seeded area (acres),v47217,1.1,101500.0
1945,Canada,Seeded area (acres),v47217,1.1,88900.0
1946,Canada,Seeded area (acres),v47217,1.1,80500.0
1947,Canada,Seeded area (acres),v47217,1.1,70700.0
1948,Canada,Seeded area (acres),v47217,1.1,64500.0
1949,Canada,Seeded area (acres),v47217,1.1,58400.0
1950,Canada,Seeded area (acres),v47217,1.1,54900.0
1951,Canada,Seeded area (acres),v47217,1.1,45700.0
1952,Canada,Seeded area (acres),v47217,1.1,44400.0
1953,Canada,Seeded area (acres),v47217,1.1,43200.0
1954,Canada,Seeded area (acres),v47217,1.1,43100.0
1955,Canada,Seeded area (acres),v47217,1.1,42900.0
1956,Canada,Seeded area (acres),v47217,1.1,39700.0
1957,Canada,Seeded area (acres),v47217,1.1,32600.0
1958,Canada,Seeded area (acres),v47217,1.1,34700.0
1959,Canada,Seeded area (acres),v47217,1.1,29900.0
1960,Canada,Seeded area (acres),v47217,1.1,27400.0
1961,Canada,Seeded area (acres),v47217,1.1,26700.0
1962,Canada,Seeded area (acres),v47217,1.1,25600.0
1963,Canada,Seeded area (acres),v47217,1.1,22900.0
1964,Canada,Seeded area (acres),v47217,1.1,20800.0
1965,Canada,Seeded area (acres),v47217,1.1,18200.0
1966,Canada,Seeded area (acres),v47217,1.1,15100.0
1967,Canada,Seeded area (acres),v47217,1.1,13600.0
1968,Canada,Seeded area (acres),v47217,1.1,12700.0
1969,Canada,Seeded area (acres),v47217,1.1,10300.0
1970,Canada,Seeded area (acres),v47217,1.1,9100.0
1971,Canada,Seeded area (acres),v47217,1.1,9600.0
1972,Canada,Seeded area (acres),v47217,1.1,10400.0
1973,Canada,Seeded area (acres),v47217,1.1,10500.0
1974,Canada,Seeded area (acres),v47217,1.1,9700.0
1975,Canada,Seeded area (acres),v47217,1.1,5000.0
1976,Canada,Seeded area (acres),v47217,1.1,4300.0
1908,Canada,Average yield (tons per acre),v47229,1.2,9.33
1909,Canada,Average yield (tons per acre),v47229,1.2,10.86
1910,Canada,Average yield (tons per acre),v47229,1.2,12.25
1911,Canada,Average yield (tons per acre),v47229,1.2,9.56
1912,Canada,Average yield (tons per acre),v47229,1.2,10.09
