Ref_Date,GEO,LEVEL,SEX,STATS,Vector,Coordinate,Value
2000,Canada,College,Both sexes,25th percentile,v88834060,1.1.1.1,24000.00
2005,Canada,College,Both sexes,25th percentile,v88834060,1.1.1.1,27500.00
2010,Canada,College,Both sexes,25th percentile,v88834060,1.1.1.1,33200.00
2000,Canada,College,Both sexes,Median,v88834061,1.1.1.2,31200.00
2005,Canada,College,Both sexes,Median,v88834061,1.1.1.2,35000.00
2010,Canada,College,Both sexes,Median,v88834061,1.1.1.2,41600.00
2000,Canada,College,Both sexes,75th percentile,v88834062,1.1.1.3,40000.00
2005,Canada,College,Both sexes,75th percentile,v88834062,1.1.1.3,44300.00
2010,Canada,College,Both sexes,75th percentile,v88834062,1.1.1.3,56000.00
2000,Canada,College,Males,25th percentile,v88834063,1.1.2.1,27000.00
2005,Canada,College,Males,25th percentile,v88834063,1.1.2.1,30000.00
2010,Canada,College,Males,25th percentile,v88834063,1.1.2.1,37200.00
2000,Canada,College,Males,Median,v88834064,1.1.2.2,35000.00
2005,Canada,College,Males,Median,v88834064,1.1.2.2,38400.00
2010,Canada,College,Males,Median,v88834064,1.1.2.2,48000.00
2000,Canada,College,Males,75th percentile,v88834065,1.1.2.3,44000.00
2005,Canada,College,Males,75th percentile,v88834065,1.1.2.3,50000.00
2010,Canada,College,Males,75th percentile,v88834065,1.1.2.3,65000.00
2000,Canada,College,Females,25th percentile,v88834066,1.1.3.1,22400.00
2005,Canada,College,Females,25th percentile,v88834066,1.1.3.1,26000.00
2010,Canada,College,Females,25th percentile,v88834066,1.1.3.1,31200.00
2000,Canada,College,Females,Median,v88834067,1.1.3.2,28600.00
2005,Canada,College,Females,Median,v88834067,1.1.3.2,32200.00
2010,Canada,College,Females,Median,v88834067,1.1.3.2,38900.00
2000,Canada,College,Females,75th percentile,v88834068,1.1.3.3,35600.00
2005,Canada,College,Females,75th percentile,v88834068,1.1.3.3,41100.00
2010,Canada,College,Females,75th percentile,v88834068,1.1.3.3,49400.00
2000,Canada,Bachelor's,Both sexes,25th percentile,v88834069,1.2.1.1,31000.00
2005,Canada,Bachelor's,Both sexes,25th percentile,v88834069,1.2.1.1,35900.00
2010,Canada,Bachelor's,Both sexes,25th percentile,v88834069,1.2.1.1,40800.00
2000,Canada,Bachelor's,Both sexes,Median,v88834070,1.2.1.2,39000.00
2005,Canada,Bachelor's,Both sexes,Median,v88834070,1.2.1.2,45000.00
2010,Canada,Bachelor's,Both sexes,Median,v88834070,1.2.1.2,53000.00
2000,Canada,Bachelor's,Both sexes,75th percentile,v88834071,1.2.1.3,49000.00
2005,Canada,Bachelor's,Both sexes,75th percentile,v88834071,1.2.1.3,55000.00
2010,Canada,Bachelor's,Both sexes,75th percentile,v88834071,1.2.1.3,68600.00
2000,Canada,Bachelor's,Males,25th percentile,v88834072,1.2.2.1,33600.00
2005,Canada,Bachelor's,Males,25th percentile,v88834072,1.2.2.1,38500.00
2010,Canada,Bachelor's,Males,25th percentile,v88834072,1.2.2.1,44000.00
2000,Canada,Bachelor's,Males,Median,v88834073,1.2.2.2,42000.00
2005,Canada,Bachelor's,Males,Median,v88834073,1.2.2.2,48000.00
2010,Canada,Bachelor's,Males,Median,v88834073,1.2.2.2,57000.00
2000,Canada,Bachelor's,Males,75th percentile,v88834074,1.2.2.3,54000.00
2005,Canada,Bachelor's,Males,75th percentile,v88834074,1.2.2.3,60000.00
2010,Canada,Bachelor's,Males,75th percentile,v88834074,1.2.2.3,75000.00
2000,Canada,Bachelor's,Females,25th percentile,v88834075,1.2.3.1,30000.00
2005,Canada,Bachelor's,Females,25th percentile,v88834075,1.2.3.1,34000.00
2010,Canada,Bachelor's,Females,25th percentile,v88834075,1.2.3.1,39000.00
2000,Canada,Bachelor's,Females,Median,v88834076,1.2.3.2,37000.00
2005,Canada,Bachelor's,Females,Median,v88834076,1.2.3.2,43000.00
2010,Canada,Bachelor's,Females,Median,v88834076,1.2.3.2,51000.00
2000,Canada,Bachelor's,Females,75th percentile,v88834077,1.2.3.3,45000.00
2005,Canada,Bachelor's,Females,75th percentile,v88834077,1.2.3.3,52000.00
2010,Canada,Bachelor's,Females,75th percentile,v88834077,1.2.3.3,65000.00
2000,Canada,Master's,Both sexes,25th percentile,v88834078,1.3.1.1,41000.00
2005,Canada,Master's,Both sexes,25th percentile,v88834078,1.3.1.1,46800.00
2010,Canada,Master's,Both sexes,25th percentile,v88834078,1.3.1.1,54000.00
2000,Canada,Master's,Both sexes,Median,v88834079,1.3.1.2,52000.00
2005,Canada,Master's,Both sexes,Median,v88834079,1.3.1.2,60000.00
2010,Canada,Master's,Both sexes,Median,v88834079,1.3.1.2,70000.00
2000,Canada,Master's,Both sexes,75th percentile,v88834080,1.3.1.3,66000.00
2005,Canada,Master's,Both sexes,75th percentile,v88834080,1.3.1.3,77900.00
2010,Canada,Master's,Both sexes,75th percentile,v88834080,1.3.1.3,88000.00
2000,Canada,Master's,Males,25th percentile,v88834081,1.3.2.1,44200.00
2005,Canada,Master's,Males,25th percentile,v88834081,1.3.2.1,50000.00
2010,Canada,Master's,Males,25th percentile,v88834081,1.3.2.1,60000.00
2000,Canada,Master's,Males,Median,v88834082,1.3.2.2,57000.00
2005,Canada,Master's,Males,Median,v88834082,1.3.2.2,65000.00
2010,Canada,Master's,Males,Median,v88834082,1.3.2.2,76400.00
2000,Canada,Master's,Males,75th percentile,v88834083,1.3.2.3,75000.00
2005,Canada,Master's,Males,75th percentile,v88834083,1.3.2.3,85000.00
2010,Canada,Master's,Males,75th percentile,v88834083,1.3.2.3,100000.00
2000,Canada,Master's,Females,25th percentile,v88834084,1.3.3.1,39000.00
2005,Canada,Master's,Females,25th percentile,v88834084,1.3.3.1,45000.00
2010,Canada,Master's,Females,25th percentile,v88834084,1.3.3.1,50700.00
2000,Canada,Master's,Females,Median,v88834085,1.3.3.2,50000.00
2005,Canada,Master's,Females,Median,v88834085,1.3.3.2,58000.00
2010,Canada,Master's,Females,Median,v88834085,1.3.3.2,65000.00
2000,Canada,Master's,Females,75th percentile,v88834086,1.3.3.3,60000.00
2005,Canada,Master's,Females,75th percentile,v88834086,1.3.3.3,72000.00
2010,Canada,Master's,Females,75th percentile,v88834086,1.3.3.3,81000.00
2000,Canada,Doctorate,Both sexes,25th percentile,v88834087,1.4.1.1,43500.00
2005,Canada,Doctorate,Both sexes,25th percentile,v88834087,1.4.1.1,48000.00
2010,Canada,Doctorate,Both sexes,25th percentile,v88834087,1.4.1.1,57000.00
2000,Canada,Doctorate,Both sexes,Median,v88834088,1.4.1.2,56100.00
