Ref_Date,GEO,LEVEL,STATS,Vector,Coordinate,Value
2000,Canada,College,Number of graduates,v88836268,1.1.1,30800.00
2005,Canada,College,Number of graduates,v88836268,1.1.1,24500.00
2010,Canada,College,Number of graduates,v88836268,1.1.1,26300.00
2000,Canada,College,Average debt owed at graduation (dollars),v88836269,1.1.2,12500.00
2005,Canada,College,Average debt owed at graduation (dollars),v88836269,1.1.2,12700.00
2010,Canada,College,Average debt owed at graduation (dollars),v88836269,1.1.2,14000.00
2000,Canada,College,"Large debt at graduation ($25,000 and over) (percent)",v88836270,1.1.3,12.00
2005,Canada,College,"Large debt at graduation ($25,000 and over) (percent)",v88836270,1.1.3,12.00
2010,Canada,College,"Large debt at graduation ($25,000 and over) (percent)",v88836270,1.1.3,14.00
2000,Canada,College,Average debt owed at time of interview (dollars),v88836271,1.1.4,8500.00
2005,Canada,College,Average debt owed at time of interview (dollars),v88836271,1.1.4,8600.00
2010,Canada,College,Average debt owed at time of interview (dollars),v88836271,1.1.4,7900.00
2000,Canada,College,"Large debt at time of interview ($25,000 and over) (percent)",v88836272,1.1.5,6.00
2005,Canada,College,"Large debt at time of interview ($25,000 and over) (percent)",v88836272,1.1.5,9.00
2010,Canada,College,"Large debt at time of interview ($25,000 and over) (percent)",v88836272,1.1.5,F
2000,Canada,College,Percentage of debt paid off at time of interview,v88836273,1.1.6,33.00
2005,Canada,College,Percentage of debt paid off at time of interview,v88836273,1.1.6,33.00
2010,Canada,College,Percentage of debt paid off at time of interview,v88836273,1.1.6,44.00
2000,Canada,College,Employed (interview year) (percent),v88836274,1.1.7,89.00
2005,Canada,College,Employed (interview year) (percent),v88836274,1.1.7,90.00
2010,Canada,College,Employed (interview year) (percent),v88836274,1.1.7,90.00
2000,Canada,College,Without income (year prior to interview) (percent),v88836275,1.1.8,1.00
2005,Canada,College,Without income (year prior to interview) (percent),v88836275,1.1.8,1.00
2010,Canada,College,Without income (year prior to interview) (percent),v88836275,1.1.8,F
2000,Canada,College,Average income  (year prior to interview) (dollars),v88836276,1.1.9,26800.00
2005,Canada,College,Average income  (year prior to interview) (dollars),v88836276,1.1.9,30200.00
2010,Canada,College,Average income  (year prior to interview) (dollars),v88836276,1.1.9,38400.00
2000,Canada,College,Average age at graduation (years),v88836277,1.1.10,26.00
2005,Canada,College,Average age at graduation (years),v88836277,1.1.10,26.00
2010,Canada,College,Average age at graduation (years),v88836277,1.1.10,26.00
2000,Canada,College,Median age at graduation (years),v88836278,1.1.11,24.00
2005,Canada,College,Median age at graduation (years),v88836278,1.1.11,24.00
2010,Canada,College,Median age at graduation (years),v88836278,1.1.11,24.00
2000,Canada,College,Married or living common-law (percent),v88836279,1.1.12,37.00
2005,Canada,College,Married or living common-law (percent),v88836279,1.1.12,39.00
2010,Canada,College,Married or living common-law (percent),v88836279,1.1.12,46.00
2000,Canada,College,With dependent children (percent),v88836280,1.1.13,27.00
2005,Canada,College,With dependent children (percent),v88836280,1.1.13,30.00
2010,Canada,College,With dependent children (percent),v88836280,1.1.13,30.00
2000,Canada,College,With previous postsecondary education (percent),v88836281,1.1.14,39.00
2005,Canada,College,With previous postsecondary education (percent),v88836281,1.1.14,53.00
2010,Canada,College,With previous postsecondary education (percent),v88836281,1.1.14,49.00
2000,Canada,Bachelor's,Number of graduates,v88836282,1.2.1,35400.00
2005,Canada,Bachelor's,Number of graduates,v88836282,1.2.1,40700.00
2010,Canada,Bachelor's,Number of graduates,v88836282,1.2.1,39100.00
2000,Canada,Bachelor's,Average debt owed at graduation (dollars),v88836283,1.2.2,19600.00
2005,Canada,Bachelor's,Average debt owed at graduation (dollars),v88836283,1.2.2,19600.00
2010,Canada,Bachelor's,Average debt owed at graduation (dollars),v88836283,1.2.2,22300.00
2000,Canada,Bachelor's,"Large debt at graduation ($25,000 and over) (percent)",v88836284,1.2.3,32.00
2005,Canada,Bachelor's,"Large debt at graduation ($25,000 and over) (percent)",v88836284,1.2.3,32.00
2010,Canada,Bachelor's,"Large debt at graduation ($25,000 and over) (percent)",v88836284,1.2.3,39.00
2000,Canada,Bachelor's,Average debt owed at time of interview (dollars),v88836285,1.2.4,12700.00
2005,Canada,Bachelor's,Average debt owed at time of interview (dollars),v88836285,1.2.4,11900.00
2010,Canada,Bachelor's,Average debt owed at time of interview (dollars),v88836285,1.2.4,10800.00
2000,Canada,Bachelor's,"Large debt at time of interview ($25,000 and over) (percent)",v88836286,1.2.5,22.00
2005,Canada,Bachelor's,"Large debt at time of interview ($25,000 and over) (percent)",v88836286,1.2.5,22.00
2010,Canada,Bachelor's,"Large debt at time of interview ($25,000 and over) (percent)",v88836286,1.2.5,23.00
2000,Canada,Bachelor's,Percentage of debt paid off at time of interview,v88836287,1.2.6,35.00
2005,Canada,Bachelor's,Percentage of debt paid off at time of interview,v88836287,1.2.6,39.00
2010,Canada,Bachelor's,Percentage of debt paid off at time of interview,v88836287,1.2.6,52.00
2000,Canada,Bachelor's,Employed (interview year) (percent),v88836288,1.2.7,90.00
2005,Canada,Bachelor's,Employed (interview year) (percent),v88836288,1.2.7,91.00
2010,Canada,Bachelor's,Employed (interview year) (percent),v88836288,1.2.7,90.00
2000,Canada,Bachelor's,Without income (year prior to interview) (percent),v88836289,1.2.8,1.00
2005,Canada,Bachelor's,Without income (year prior to interview) (percent),v88836289,1.2.8,1.00
2010,Canada,Bachelor's,Without income (year prior to interview) (percent),v88836289,1.2.8,F
2000,Canada,Bachelor's,Average income  (year prior to interview) (dollars),v88836290,1.2.9,33500.00
2005,Canada,Bachelor's,Average income  (year prior to interview) (dollars),v88836290,1.2.9,39700.00
2010,Canada,Bachelor's,Average income  (year prior to interview) (dollars),v88836290,1.2.9,49700.00
